이미지 이름                    PID 세션 이름              세션#  메모리 사용 상태            사용자 이름                                            CPU 시간 창 제목                                                                  
MicrosoftEdgeSH.exe          11660 Console                    1     13,712 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 N/A                                                                      
MicrosoftEdgeCP.exe          19936 Console                    1     23,096 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 Microsoft Edge                                                           
Code.exe                     18544 Console                    1    118,660 K Running         DESKTOP-S53VTJ2\gjh62                                   0:03:00 Live_Response.bat - Batch_LiveResponse_Script - Visual Studio Code       
Code.exe                      8668 Console                    1    135,612 K Running         DESKTOP-S53VTJ2\gjh62                                   0:02:02 N/A                                                                      
Code.exe                      4628 Console                    1     11,752 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 N/A                                                                      
WindowsInternal.Composabl    17944 Console                    1     43,548 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:05 Microsoft Text Input Application                                         
YourPhoneServer.exe           4428 Console                    1     13,248 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 N/A                                                                      
rundll32.exe                 18696 Console                    1      8,812 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 OleMainThreadWndName                                                     
cmd.exe                      21296 Console                    1      4,556 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 관리자:  Live Response Ver_1_Kong Jong Hyun                              
conhost.exe                  19020 Console                    1     19,032 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 N/A                                                                      
mspaint.exe                  33928 Console                    1     93,484 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:01 제목 없음 - 그림판                                                       
cmd.exe                      33336 Console                    1      4,420 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 관리자:  Live Response Ver_1_Kong Jong Hyun                              
conhost.exe                   3708 Console                    1     18,840 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 N/A                                                                      
