이미지 이름                    PID 세션 이름              세션#  메모리 사용 상태            사용자 이름                                            CPU 시간 창 제목                                                                  
svchost.exe                   5004 Services                   0      7,340 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                      
IMGSF50Svc.exe                5032 Services                   0      6,060 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
IniClientSvc_x64.exe          5052 Services                   0      7,692 K Unknown         NT AUTHORITY\SYSTEM                                     0:08:29 N/A                                                                      
svchost.exe                   5116 Services                   0     19,104 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:22 N/A                                                                      
mongod.exe                    4208 Services                   0     25,960 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:02:01 N/A                                                                      
nossvc.exe                    4528 Services                   0      1,092 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:04 N/A                                                                      
ASDSvc.exe                    5208 Services                   0     15,272 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:44 N/A                                                                      
svchost.exe                   5216 Services                   0      5,716 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
nvcontainer.exe               5232 Services                   0     33,384 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:13 N/A                                                                      
svchost.exe                   5240 Services                   0      8,228 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
sqlwriter.exe                 5272 Services                   0      6,920 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                   5284 Services                   0      8,136 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
TeamViewer_Service.exe        5312 Services                   0     18,744 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
RstMwService.exe              5324 Services                   0      6,132 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
vmnat.exe                     5396 Services                   0      7,112 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                   5404 Services                   0      5,072 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
vmnetdhcp.exe                 5412 Services                   0      4,788 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
MsMpEng.exe                   5536 Services                   0    290,496 K Unknown         NT AUTHORITY\SYSTEM                                     0:09:47 N/A                                                                      
wpmsvc.exe                    5548 Services                   0     11,972 K Unknown         NT AUTHORITY\SYSTEM                                     0:02:35 N/A                                                                      
svchost.exe                   5592 Services                   0     20,696 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
